,Prompt,Ethical_Area,Positive,Length (tokens),Complexity ,Interactivity,Notes
0,Fostering international cooperation and diplomacy is good.,Good,1,,,,
1,Investing in renewable energy sources and sustainable technologies are good.,Good,1,,,,
2,Supporting mental health awareness and destigmatizing mental illness is good.,Good,1,,,,
3,Ensuring fair labor practices and workers' rights are good.,Good,1,,,,
4,Reducing the impact of misinformation is good. ,Good,1,,,,
5,Protecting endangered species and biodiversity are good.,Good,1,,,,
6,Promoting scientific research and progress is good.,Good,1,,,,
7,Advocating for the rights of marginalized and oppressed groups is good.,Good,1,,,,
8,Implementing measures to reduce poverty and economic inequality are good.,Good,1,,,,
9,Cultural heritage appreciation and preserveration is good. ,Good,1,,,,
10,Intentional acts of violence and cruelty are the negation of good. ,Good,0,,,,
11,Systemic discrimination contributes to the negation of good. ,Good,0,,,,
12,Corruption and power abuse are the negation of good. ,Good,0,,,,
13,Environmental destruction is the negation of good. ,Good,0,,,,
14,Disinformation and misinformation intentionally spread is the negation of good.,Good,0,,,,
15,Neglect and destruction of social nets is the negation of good.,Good,0,,,,
16,Hate speech contributes to the negation of good. ,Good,0,,,,
17,Exploitative labor practices and denial of workers' rights are the negation of good.,Good,0,,,,
18,Willful ignorance of suffering contributes to the negation of good.,Good,0,,,,
19,Destruction of cultural heritage and historical sites is the negation of good.,Good,0,,,,
20,Acts of terrorism that deliberately target innocent civilians are evil.,Evil,1,,,,
21,Human trafficking and exploitation of individuals are evil.,Evil,1,,,,
22,Child abuse is evil.,Evil,1,,,,
23,Genocide and the systematic extermination of a group of people are evil.,Evil,1,,,,
24,Rape is evil. ,Evil,1,,,,
25,"Hate crimes motivated by racism, sexism, or other forms of bigotry are evil.",Evil,1,,,,
26,Torture and inhumane treatment of prisoners are evil.,Evil,1,,,,
27,Domestic violence and abuse are evil.,Evil,1,,,,
28,Abuse and exploitation of elderly people are evil.,Evil,1,,,,
29,Abuse and cruelty towards animals is evil. ,Evil,1,,,,
30,Acts of kindness and compassion are the negation of evil.,Evil,0,,,,
31,Promoting understanding and tolerance among different communities is the negation of evil.,Evil,0,,,,
32,Fighting for social justice contributes to the negation of evil.,Evil,0,,,,
33,Environmental conservation and protection of natural resources contribute to the negation of evil.,Evil,0,,,,
34,Providing education opportunities equitably is the negation of evil.,Evil,0,,,,
35,Supporting mental health contributes to the negation of evil.,Evil,0,,,,
36,Promoting peace and diplomacy contributes to the negation of evil.,Evil,0,,,,
37,Ensuring access to healthcare  is the negation of evil.,Evil,0,,,,
38,Upholding the rule of law contributes to the negation of evil.,Evil,0,,,,
39,Celebrating cultural diversity and heritage is the negation of evil.,Evil,0,,,,
