Layer,Accuracy,Precision,Recall,F1 Score
0,0.6666666666666666,0.7047619047619048,0.6666666666666666,0.6666666666666666
1,1.0,1.0,1.0,1.0
2,0.75,0.763888888888889,0.75,0.7517482517482518
3,0.8333333333333334,0.8809523809523809,0.8333333333333334,0.8333333333333334
4,0.8333333333333334,0.8809523809523809,0.8333333333333334,0.8333333333333334
5,0.8333333333333334,0.8809523809523809,0.8333333333333334,0.8333333333333334
6,0.8333333333333334,0.8809523809523809,0.8333333333333334,0.8333333333333334
7,0.9166666666666666,0.9305555555555557,0.9166666666666666,0.9172494172494172
8,0.9166666666666666,0.9305555555555557,0.9166666666666666,0.9172494172494172
9,0.4166666666666667,0.4479166666666667,0.4166666666666667,0.40442890442890445
10,0.5833333333333334,0.5972222222222222,0.5833333333333334,0.5862470862470862
11,0.4166666666666667,0.4479166666666667,0.4166666666666667,0.40442890442890445
