Layer,Accuracy,Precision,Recall,F1 Score
0,0.9166666666666666,0.9305555555555557,0.9166666666666666,0.9172494172494172
1,0.75,0.84375,0.75,0.7447552447552447
2,0.75,0.84375,0.75,0.7447552447552447
3,0.8333333333333334,0.8809523809523809,0.8333333333333334,0.8333333333333334
4,0.6666666666666666,0.7047619047619048,0.6666666666666666,0.6666666666666666
5,0.75,0.84375,0.75,0.7447552447552447
6,0.8333333333333334,0.8809523809523809,0.8333333333333334,0.8333333333333334
7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
10,0.4166666666666667,0.4479166666666667,0.4166666666666667,0.40442890442890445
11,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
