Layer,Accuracy,Precision,Recall,F1 Score
0,0.71875,0.7299107142857143,0.71875,0.7179252199413491
1,0.53125,0.5295138888888888,0.53125,0.5298645320197044
2,0.71875,0.7473958333333334,0.71875,0.7145935960591133
3,0.78125,0.7890625,0.78125,0.7779654654654655
4,0.9375,0.944078947368421,0.9375,0.9370039682539681
5,1.0,1.0,1.0,1.0
6,0.96875,0.970486111111111,0.96875,0.9686576354679803
7,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,0.96875,0.970703125,0.96875,0.9687805474095796
