Layer,Accuracy,Precision,Recall,F1 Score
0,0.4375,0.4375,0.4375,0.4375
1,0.625,0.6299019607843137,0.625,0.625
2,0.34375,0.34052579365079366,0.34375,0.3418103448275862
3,0.5,0.4959514170040486,0.5,0.49603174603174605
4,0.59375,0.5925099206349207,0.59375,0.5925492610837438
5,0.65625,0.6555059523809523,0.65625,0.6552339901477833
6,0.71875,0.7185019841269842,0.71875,0.7179187192118227
7,0.4375,0.4409313725490196,0.4375,0.4375
8,0.65625,0.6659226190476191,0.65625,0.655241935483871
9,0.75,0.7702429149797572,0.75,0.7480392156862744
10,0.875,0.875,0.875,0.875
11,0.6875,0.6928921568627451,0.6875,0.6875
