Layer,Accuracy,Precision,Recall,F1 Score
0,0.5,0.503921568627451,0.5,0.5
1,0.53125,0.5379464285714286,0.53125,0.5298753665689149
2,0.40625,0.37540064102564097,0.40625,0.34391569459172855
3,0.625,0.6271645021645021,0.625,0.6158906882591093
4,0.59375,0.595703125,0.59375,0.5941471163245358
5,0.5,0.5,0.5,0.5
6,0.28125,0.25539772727272725,0.28125,0.2560685685685686
7,0.375,0.375,0.375,0.375
8,0.84375,0.845703125,0.84375,0.8439027370478984
9,0.84375,0.845703125,0.84375,0.8439027370478984
10,0.84375,0.8444940476190477,0.84375,0.8432881773399015
11,0.71875,0.7234375,0.71875,0.714527027027027
