Layer,Accuracy,Precision,Recall,F1 Score
0,0.5,0.4959514170040486,0.5,0.49603174603174605
1,0.46875,0.4739583333333333,0.46875,0.4671920821114369
2,0.40625,0.3953125,0.40625,0.39733483483483484
3,0.4375,0.43193319838056676,0.4375,0.4330357142857143
4,0.5,0.5,0.5,0.5
5,0.46875,0.470703125,0.46875,0.4692693059628543
6,0.53125,0.5295138888888888,0.53125,0.5298645320197044
7,0.34375,0.34598214285714285,0.34375,0.3418255131964809
8,0.6875,0.6875,0.6875,0.6875
9,0.75,0.7558823529411766,0.75,0.75
10,0.78125,0.783203125,0.78125,0.7814638318670577
11,0.625,0.625,0.625,0.625
