Layer,Accuracy,Precision,Recall,F1 Score
0,0.46875,0.2197265625,0.46875,0.2992021276595745
1,0.46875,0.2197265625,0.46875,0.2992021276595745
2,0.46875,0.2197265625,0.46875,0.2992021276595745
3,0.46875,0.2197265625,0.46875,0.2992021276595745
4,0.53125,0.2822265625,0.53125,0.36862244897959184
5,0.5,0.7580645161290323,0.5,0.3647342995169082
6,0.46875,0.2197265625,0.46875,0.2992021276595745
7,0.46875,0.2197265625,0.46875,0.2992021276595745
8,0.53125,0.2822265625,0.53125,0.36862244897959184
9,0.53125,0.2822265625,0.53125,0.36862244897959184
10,0.5625,0.6232142857142857,0.5625,0.5260416666666667
11,0.65625,0.6796875,0.65625,0.6511699507389164
