Layer,Accuracy,Precision,Recall,F1 Score
0,0.78125,0.7890625,0.78125,0.7779654654654655
1,0.625,0.6358695652173914,0.625,0.60625
2,0.84375,0.8444940476190477,0.84375,0.8432881773399015
3,0.9375,0.944078947368421,0.9375,0.9370039682539681
4,0.96875,0.970486111111111,0.96875,0.9686576354679803
5,0.96875,0.970486111111111,0.96875,0.9686576354679803
6,0.96875,0.970486111111111,0.96875,0.9686576354679803
7,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,0.96875,0.970703125,0.96875,0.9687805474095796
